nivel2,spells,cierres,mediana_anios,s5_5,s10_5,cohorte,spells_cohorte,base,efecto
kiosco,1555,1419,4.999315537303217,0.125,0.087,2016-2017,14298,0.113,0.011999999999999997
juegos_azar,321,289,4.999315537303217,0.125,0.1,2016-2017,14298,0.113,0.011999999999999997
polleria,445,413,4.999315537303217,0.124,0.072,2016-2017,14298,0.113,0.010999999999999996
almacen,1964,1801,4.999315537303217,0.123,0.083,2016-2017,14298,0.113,0.009999999999999995
bijouterie,561,504,4.999315537303217,0.123,0.102,2016-2017,14298,0.113,0.009999999999999995
locutorio,130,118,4.999315537303217,0.123,0.092,2016-2017,14298,0.113,0.009999999999999995
regaleria,490,448,4.999315537303217,0.122,0.086,2016-2017,14298,0.113,0.008999999999999994
peluqueria,449,408,4.999315537303217,0.12,0.091,2016-2017,14298,0.113,0.006999999999999992
limpieza,452,418,4.999315537303217,0.113,0.075,2016-2017,14298,0.113,0.0
intermediarios,160,146,4.999315537303217,0.113,0.088,2016-2017,14298,0.113,0.0
ropa_infantil,253,229,4.999315537303217,0.111,0.095,2016-2017,14298,0.113,-0.0020000000000000018
taller_mecanico,173,158,4.999315537303217,0.11,0.087,2016-2017,14298,0.113,-0.0030000000000000027
bar_restaurante,981,903,4.999315537303217,0.106,0.08,2016-2017,14298,0.113,-0.007000000000000006
muebleria,286,263,4.999315537303217,0.105,0.08,2016-2017,14298,0.113,-0.008000000000000007
forrajeria,328,311,4.999315537303217,0.104,0.052,2016-2017,14298,0.113,-0.009000000000000008
belleza,140,134,4.999315537303217,0.1,0.043,2016-2017,14298,0.113,-0.012999999999999998
verduleria,601,572,4.999315537303217,0.098,0.048,2016-2017,14298,0.113,-0.015
gimnasio,124,114,4.999315537303217,0.097,0.081,2016-2017,14298,0.113,-0.016
ropa,1421,1323,4.999315537303217,0.095,0.069,2016-2017,14298,0.113,-0.018000000000000002
reparaciones,170,157,4.999315537303217,0.088,0.076,2016-2017,14298,0.113,-0.02500000000000001
transporte,293,278,4.999315537303217,0.085,0.051,2016-2017,14298,0.113,-0.027999999999999997
