rubronombre,n,nivel2,nivel1
"Publicidad realizada por medio de carteles, pantallas y paneles luminosos, iluminados, electrónicos, mecánicos y similares. Con una superficie de 2,01 hasta 10 metros cuadrados por cartel. La cantidad de metros a declarar en este subrubro, se refiere a la",9,otro,otro
"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre, excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar",9,transporte,servicios profesionales
INDUSTRIAS MANUFACTURERAS N.C.P.,9,otro,otro
"FABRICACIÓN DE PRODUCTOS DE MADERA N.C.P, FABRICACIÓN DE ARTÍCULOS DE PAJA Y MATERIALES TRENZABLES",9,fabricacion,industria y deposito
Edición de libros y publicaciones. Editoriales con talleres propios,9,taller_mecanico,automotor
SERVICIOS DE PROVEEDORES DE ACCESO A INTERNET,9,otro,otro
Cama solar,9,otro,otro
Fabricación de productos minerales no metálicos n.c.p.,9,fabricacion,industria y deposito
Venta al por mayor de pescados y productos marinos,9,mayorista,industria y deposito
TERMINACIÓN Y REVESTIMIENTO DE PAREDES Y PISOS,9,otro,otro
VENTA AL POR MAYOR DE COMBUSTIBLES N.C.P Y LUBRICANTES PARA AUTOMOTORES,9,mayorista,industria y deposito
VENTA AL POR MAYOR DE ARTÍCULOS DE USO DOMÉSTICO O PERSONAL N.C.P,9,mayorista,industria y deposito
Venta al por mayor en comisión o consignación de productos textiles,9,mayorista,industria y deposito
"Venta al por mayor de fibras, hilados e hilos",9,mayorista,industria y deposito
OBTENCIÓN Y DOTACIÓN DE PERSONAL,9,otro,otro
Venta al por mayor de automotores nuevos y  usados,9,mayorista,industria y deposito
"Fabricación y reparación de bombas, compresores y maquinaria o equipos similares",9,fabricacion,industria y deposito
"Publicidad realizada por medio de carteles, pantallas y paneles luminosos, iluminados, electrónicos, mecánicos y similares. Con una superficie de hasta 2 metros cuadrados por cartel. La cantidad de metros a declarar en este subrubro, se refiere a la sumat",9,otro,otro
SERVICIOS DE TELECOMUNICACIONES N.C.P.,9,otro,otro
"Terminación de edificios y obras de ingeniería civil n.c.p. (Incluye trabajos de ornamentación, limpieza exterior de edificios con vapor, chorro de arena u otros métodos)",9,otro,otro
Colocación de pisos y revestimientos n.c.p. (incluye plastificado de pisos),9,otro,otro
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO ESPECIAL N.C.P.",9,mayorista,industria y deposito
FABRICACIÓN DE MEDICAMENTOS (LABORATORIOS),9,fabricacion,industria y deposito
Venta al por menor de sustancias químicas industriales,9,otro,otro
VENTA AL POR MAYOR DE VINO,9,mayorista,industria y deposito
VENTA AL POR MAYOR DE MUEBLES E INSTALACIONES PARA OFICINAS,9,mayorista,industria y deposito
Despachante de aduana y balanceadores,9,otro,otro
Fabricación y reparación de maquinaria agropecuaria y forestal (excepto tractores),9,fabricacion,industria y deposito
"ALQUILER DE MAQUINARIA Y EQUIPO DE CONSTRUCCIÓN E INGENIERÍA CIVIL, SIN OPERARIOS",9,otro,otro
"REPARACIÓN Y MANTENIMIENTO DE INSTRUMENTOS MÉDICOS,ÓPTICOS Y DE PRECISIÓN,EQUIPO FOTOGRÁFICO,APARATOS PARA MEDIR,ENSAYAR O NAVEGAR,RELOJES,EXCEPTO PARA USO PERSONAL O DOMÉSTICO",9,bijouterie,indumentaria
Reparación y mantenimiento de ascensores,9,otro,otro
Servicio de transporte automotor de cargas n.c.p.,9,transporte,servicios profesionales
Sex shop (conforme a la tipificación que fije el DEM),9,otro,otro
"Elaboración, envasado y conservación de frutas, legumbres y hortalizas n.c.p. (Incluye la elaboración de sémola de hortalizas y legumbres)",9,fabricacion,industria y deposito
"FABRICACIÓN DE INSTRUMENTOS Y APARATOS PARA MEDIR, VERIFICAR, ENSAYAR, NAVEGAR Y OTROS FINES, EXCEPTO EL EQUIPO DE CONTROL DE PROCESOS INDUSTRIALES",9,fabricacion,industria y deposito
FABRICACIÓN DE PRODUCTOS TEXTILES N.C.P.,9,fabricacion,industria y deposito
Compra y venta de oro,9,otro,otro
Escuela de natación,9,otro,otro
"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS N.C.P., DESPERDICIOS Y DESECHOS DE PAPEL Y CARTÓN",9,mayorista,industria y deposito
"Hormigonado, hincado de pilotes, cimentación y otros trabajos de hormigón armado",9,otro,otro
ELABORACIÓN INDUSTRIAL DE HELADOS,9,heladeria,gastronomia
"Servicios de transmisión de sonido, imágenes, datos u otra información",9,otro,otro
Fabricación y armado de bicicletas y rodados similares,8,fabricacion,industria y deposito
