rubronombre,n,nivel2,nivel1
VENTA AL POR MENOR DE FORRAJES  (INCLUYE LA VENTA DE ALIMENTO PARA ANIMALES Y ACCESORIOS PARA MASCOTAS),619,forrajeria,alimentos
SERVICIOS DE RESTAURANTES Y CANTINAS SIN ESPECTÁCULO,611,bar_restaurante,gastronomia
"Servicios de elaboración propia o por terceros y venta para llevar y entrega a domicilio de alimentos perecederos calientes, fríos o congelados, sin sucursales, con superficie habilitada de más de 50 m2",610,comida_para_llevar,gastronomia
VENTA AL POR MENOR DE MATERIALES Y PRODUCTOS DE LIMPIEZA,589,limpieza,hogar y construccion
Otros juegos de azar,578,juegos_azar,esparcimiento
SERVICIO DE EXPENDIO DE HELADOS,571,heladeria,gastronomia
VENTA AL POR MENOR DE BIJOUTERIE Y FANTASÍA,562,bijouterie,indumentaria
"VENTA AL POR MENOR DE PARTES, PIEZAS Y ACCESORIOS NUEVOS N.C.P.",558,repuestos,automotor
Venta al por menor de productos dietéticos.,544,dietetica,alimentos
FIAMBRERIA. VENTA AL POR MENOR DE FIAMBRES.,543,fiambreria,alimentos
"VENTA AL POR MENOR DE HUEVOS, CARNE DE AVES Y  PRODUCTOS DE GRANJA Y DE LA CAZA",539,polleria,alimentos
Venta al por menor de artículos de caña y mimbre. Venta de muebles. Mueblería,528,muebleria,hogar y construccion
"VENTA AL POR MENOR DE PRODUCTOS VETERINARIOS, ANIMALES DOMÉSTICOS Y ALIMENTO BALANCEADO PARA MASCOTAS",515,forrajeria,alimentos
Venta al por menor de herboristería,509,dietetica,alimentos
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada desde 101 m2 a 200 m2.",503,bar_restaurante,gastronomia
VENTA AL POR MENOR DE PRODUCTOS LÁCTEOS,497,lacteos,alimentos
"VENTA AL POR MENOR DE BOMBONES, GOLOSINAS Y DEMÁS PRODUCTOS DE CONFITERÍA",494,golosinas,alimentos
Venta al por menor de artículos de lencería,484,lenceria,indumentaria
"SERVICIOS DE RECEPCIÓN DE APUESTAS DE QUINIELA, LOTERÍA Y SIMILARES",484,juegos_azar,esparcimiento
Venta al por menor de leche y productos lácteos,481,lacteos,alimentos
"Intermediarios, consignatarios, comisionistas, que perciban comisiones u otras retribuciones análogas o porcentajes",479,intermediarios,servicios profesionales
Servicio de oficina de cobranzas,473,cobranzas,servicios profesionales
"VENTA AL POR MENOR DE ROPA INTERIOR, MEDIAS, PRENDAS PARA DORMIR Y PARA LA PLAYA",466,lenceria,indumentaria
Servicio de reparto a domicilio (Delivery). Siempre que sea accesorio de rubro de actividad principal.,465,transporte,servicios profesionales
Venta al por menor de indumentaria deportiva y sus accesorios,461,indumentaria_deportiva,indumentaria
Venta al por menor de artículos de bazar y menaje,450,bazar,hogar y construccion
HELADERIA,427,heladeria,gastronomia
Fabricación de pan y productos de panificación. Panificadoras,418,fabricacion,industria y deposito
VENTA AL POR MENOR DE ARTÍCULOS DE BAZAR Y MENAJE,414,bazar,hogar y construccion
SERVICIOS DE EXPENDIO DE BEBIDAS EN BARES,407,bar_restaurante,gastronomia
Agencias de turismo y servicios conexos (por comisiones),395,turismo,servicios profesionales
VENTA AL POR MENOR DE INDUMENTARIA PARA BEBÉS Y NIÑOS,383,ropa_infantil,indumentaria
Locación de bienes inmuebles propios,379,inmobiliaria,servicios profesionales
Venta al por menor de productos y artículos confeccionados con materiales textiles n.c.p.,376,merceria,indumentaria
VENTA AL POR MENOR DE INDUMENTARIA DEPORTIVA,375,indumentaria_deportiva,indumentaria
Venta al por menor de artículos de mercería,372,merceria,indumentaria
Depósitos y almacenamientos de alimentos no refrigerados,368,deposito,industria y deposito
Gimnasios,362,gimnasio,servicios personales
SERVICIOS MÉDICOS PARA ANIMALES (VETERINARIA),355,veterinaria,salud
VENTA AL POR MENOR DE MEDICAMENTOS DE USO HUMANO (FARMACIAS),354,farmacia,salud
Venta por menor de Insumos de computación,352,tecnologia,comercio general
Venta al por menor de artículos del hogar,351,articulos_hogar,hogar y construccion
Cabinas telefónicas (por cabina Mínimo $ 23),347,locutorio,servicios personales
VENTA AL POR MENOR DE APARATOS DE TELEFONÍA Y COMUNICACIÓN,340,tecnologia,comercio general
"Administración, alquiler y venta de terceros. Inmobiliarias",338,inmobiliaria,servicios profesionales
VENTA AL POR MENOR DE CALZADO DEPORTIVO,333,calzado,indumentaria
"Kioscos instalados dentro del perímetro señalado en el código 633120.1 (zona 1), shoppings y grandes centros comerciales",333,kiosco,comercio general
"Venta al por menor de pinturas, barnices, lacas, esmaltes y artículos de pinturería",331,pinturería,hogar y construccion
Venta de helados envasados,328,heladeria,gastronomia
"Venta al por menor de bombones y golosinas. Caramelería, galletitería",328,golosinas,alimentos
"VENTA AL POR MENOR DE MUEBLES PARA EL HOGAR, ARTÍCULOS DE MIMBRE Y CORCHO",326,muebleria,hogar y construccion
Reparación de aparatos eléctricos de uso doméstico y personal,326,reparaciones,servicios personales
SERVICIOS EMPRESARIALES N.C.P.,325,oficina,servicios profesionales
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada de más de 300 m2. -",323,bar_restaurante,gastronomia
VENTA AL POR MENOR DE ARTÍCULOS DE ÓPTICA Y FOTOGRAFÍA,320,optica,salud
"SERVICIOS DE TRATAMIENTO DE BELLEZA, EXCEPTO LOS DE PELUQUERÍA",313,consultorio,salud
"Sandwichería, elaboración y ventas por menor, sin servicios de mesas",311,comida_para_llevar,gastronomia
Venta al por menor de artículos de cotillón,308,jugueteria,esparcimiento
"SERVICIOS DE FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTROS SERVICIOS DE APOYO DE OFICINA",307,fotocopias,servicios personales
"REPARACIÓN DE AUTOMOTORES Y MOTOCICLETAS (MOTORES Y MECÁNICA INTEGRAL; INCLUIDOS CARBURADOR, RADIADOR, Y SERVICIO DE AUXILIO Y REMOLQUE DE AUTOMOTORES).",297,taller_mecanico,automotor
PELUQUERÍAS INSTALADAS DENTRO DEL PERÍMETRO Y TRAMOS ESTABLECIDOS POR EL ARTÍCULO 142° DE LA ORDENANZA TRIBUTARIA 2011,295,peluqueria,servicios personales
VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA Y MATERIALES ELÉCTRICOS,295,ferreteria,hogar y construccion
Venta al por menor de carne envasada y congelada,294,carniceria,alimentos
"Servicios de atención ambulatoria. (Incluye las actividades de consultorios médicos de establecimientos sin internación, consultorios de guardia para resolver urgencias médicas, vacunatorios, centros del primer nivel de atención,  Los servicios de cirugía",288,consultorio,salud
"Venta al por menor de colchones, almohadas y accesorios",283,muebleria,hogar y construccion
VENTA AL POR MENOR DE ARTÍCULOS DE ÓPTICA,282,optica,salud
"SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA, CON BIENES URBANOS PROPIOS O ARRENDADOS N.C.P.",279,inmobiliaria,servicios profesionales
Venta al por menor de alimentos y suplementos dietarios.,279,dietetica,alimentos
SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO N.C.P.,266,deposito,industria y deposito
VENTA POR MENOR DE MEDICAMENTOS Y ACCESORIOS PARA ANIMALES,264,forrajeria,alimentos
Servicios prestados a las empresas por profesionales organizados como empresa en ejercicio de su profesión liberal,262,oficina,servicios profesionales
VENTA AL POR MENOR DE TABACO EN COMERCIOS ESPECIALIZADOS,255,tabaqueria,comercio general
SERVICIOS MINORISTAS DE AGENCIAS DE VIAJES,252,turismo,servicios profesionales
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada desde 101 m2 a 200 m2. Ubicados dentro de los siguientes perímetros:",250,bar_restaurante,gastronomia
Venta al por menor de pastas frescas,249,alimentos_otros,alimentos
Desarrollo de software,249,oficina,servicios profesionales
VENTA AL POR MENOR DE ARTÍCULOS PARA EL HOGAR N.C.P.,248,articulos_hogar,hogar y construccion
"Servicios de tratamiento. (Incluye las actividades de centros de cobaltoterapia, de radiología convencional, de acelerador lineal de rehabilitación física, de psicoterapia, de hemoterapia, de rehabilitación psíquica, unidades de hemodiálisis, centros de m",248,consultorio,salud
"Venta al por menor de joyas, relojes y artículos conexos",247,bijouterie,indumentaria
"Venta al por menor de máquinas de oficina, computadoras, cálculo, sus componentes y repuestos",245,repuestos,automotor
Peluquería canina,245,peluqueria,servicios personales
Agente de seguros y servicios relacionados con seguros n.c.p.,236,seguros,servicios profesionales
VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y HERBORISTERÍA,236,dietetica,alimentos
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada hasta 100 m2. Ubicados dentro de los siguientes perímetros:",235,bar_restaurante,gastronomia
SERVICIOS VETERINARIOS,235,veterinaria,salud
SERVICIOS DE AGENCIAS DE COBRO Y CALIFICACIÓN CREDITICIA,232,cobranzas,servicios profesionales
Minimercado,231,almacen,alimentos
Corredor inmobiliario,231,inmobiliaria,servicios profesionales
SERVICIOS DE ACONDICIONAMIENTO FÍSICO,231,gimnasio,servicios personales
"VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS, SIN PREDOMINIO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS",229,bebidas,alimentos
Venta al por menor de tabacos y cigarrillos,227,tabaqueria,comercio general
"VENTA AL POR MENOR DE ELECTRODOMÉSTICOS, ARTEFACTOS PARA EL HOGAR Y EQUIPOS DE AUDIO Y VIDEO",226,electrodomesticos,hogar y construccion
"Venta al por menor de artículos electrónicos, sus repuestos y accesorios (excepto del hogar)",225,repuestos,automotor
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada desde 201 m2 a 300 m2.-",220,bar_restaurante,gastronomia
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes. Ubicados dentro de shoppings, grandes centros comerciales, galerías y patios de comida.",216,bar_restaurante,gastronomia
"VENTA AL POR MENOR DE EQUIPOS, PERIFÉRICOS, ACCESORIOS Y PROGRAMAS INFORMÁTICOS",213,tecnologia,comercio general
ELABORACIÓN DE PRODUCTOS DE PANADERÍA N.C.P.,212,fabricacion,industria y deposito
Depósitos y almacenamientos de alimentos refrigerados,210,deposito,industria y deposito
"Venta al por mayor de repuestos y accesorios para vehículos automotores, incluido equipos de G.N.C.",208,mayorista,industria y deposito
Depilación,203,belleza,servicios personales
VENTA AL POR MENOR DE ARTÍCULOS DE RELOJERÍA Y JOYERÍA,203,bijouterie,indumentaria
VENTA AL POR MENOR DE INSTRUMENTAL MÉDICO Y ODONTOLÓGICO Y ARTÍCULOS ORTOPÉDICOS,202,ortopedia,salud
VENTA AL POR MENOR DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,200,venta_vehiculos,automotor
"VENTA AL POR MENOR DE EQUIPOS, PERIFÉRICOS,  ACCESORIOS Y PROGRAMAS INFORMÁTICOS",198,tecnologia,comercio general
"Reparación de automotores y motocicletas (amortiguadores, alineación de dirección, balanceo de ruedas, llantas)",192,taller_mecanico,automotor
SERVICIOS DE ATENCIÓN A ANCIANOS CON ALOJAMIENTO,190,otro,otro
Venta al por menor de lubricantes líquidos y sólidos,189,repuestos,automotor
Venta al por menor de productos de repostería,186,panaderia,gastronomia
Pescadería,185,pescaderia,alimentos
VENTA AL POR MENOR DE MATERIALES DE CONSTRUCCIÓN N.C.P.,180,construccion,hogar y construccion
SERVICIOS RELACIONADOS CON LA SALUD HUMANA N.C.P.,179,consultorio,salud
VENTA AL POR MENOR DE COLCHONES Y SOMIERES,179,muebleria,hogar y construccion
Lotería instantánea,178,juegos_azar,esparcimiento
"EXPLOTACIÓN DE INSTALACIONES DEPORTIVAS, EXCEPTO CLUBES",177,instalaciones_deportivas,esparcimiento
Venta al por menor de masas y demás productos de pastelerías. Confiterías,177,panaderia,gastronomia
"VENTA AL POR MENOR DE HILADOS, TEJIDOS Y ARTÍCULOS DE MERCERÍA",176,merceria,indumentaria
Venta al por menor de materiales de construcción,175,construccion,hogar y construccion
Bancos                                                                                                                                                                                                                                            Con un mínimo,174,cobranzas,servicios profesionales
Venta al por menor de flores y plantas naturales y artificiales,173,vivero,hogar y construccion
SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO N.C.P. ,170,deposito,industria y deposito
Servicio de cerrajería,160,reparaciones,servicios personales
Manicura,160,belleza,servicios personales
Venta al por menor de quesos,158,lacteos,alimentos
PIROTECNIA POR MENOR,153,otro,otro
VENTA AL POR MENOR DE PINTURAS Y PRODUCTOS CONEXOS,153,pinturería,hogar y construccion
REPARACIÓN Y MANTENIMIENTO DE EQUIPOS DE TELEFONÍA Y DE COMUNICACIÓN,149,tecnologia,comercio general
SERVICIOS DE CONSULTORES EN INFORMÁTICA Y SUMINISTROS DE PROGRAMAS DE INFORMÁTICA,143,tecnologia,comercio general
Venta al por menor de artículos de plástico,140,otro,otro
Venta al por menor de prendas de vestir de cuero y sucedáneos,137,ropa,indumentaria
VENTA AL POR MENOR DE INSUMOS MÉDICOS,136,otro,otro
VENTA AL POR MENOR DE PESCADOS Y PRODUCTOS DE LA PESCA,136,pescaderia,alimentos
"Venta al por menor de bicicletas y rodados infantiles, sus repuestos y accesorios",136,venta_vehiculos,automotor
"VENTA AL POR MENOR DE PRODUCTOS COSMÉTICOS, DE TOCADOR Y DE PERFUMERÍA, PAÑALES",133,perfumeria,salud
"Fraccionamiento, distribución y venta por mayor de productos alimentarios n.c.p.",132,mayorista,industria y deposito
Salón de belleza,130,otro,otro
Artesanos. Venta al por menor de artesanías,130,regaleria,comercio general
Venta al por menor de pañales,129,otro,otro
"MANTENIMIENTO Y REPARACIÓN DEL MOTOR N.C.P., MECÁNICA INTEGRAL",129,taller_mecanico,automotor
"Venta al por menor de discos, cassettes, DVD, DVC, videos juegos y similares. Disquerías",128,otro,otro
ESCUELA DE DANZAS Y YOGA,127,otro,otro
"Venta al por menor de café, te, yerba mate y especias",127,alimentos_otros,alimentos
VENTA AL POR MENOR DE ARTÍCULOS DE TALABARTERÍA Y ARTÍCULOS REGIONALES,126,marroquineria,indumentaria
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada desde 201 m2 a 300 m2. Ubicados dentro de los siguientes perímetros:",126,bar_restaurante,gastronomia
"VENTA AL POR MENOR  DE ELECTRODOMÉSTICOS, ARTEFACTOS PARA EL HOGAR Y EQUIPOS DE AUDIO Y VIDEO",126,electrodomesticos,hogar y construccion
Instituto de higiene y estética corporal,126,belleza,servicios personales
SERVICIOS DE COMIDAS N.C.P.,125,otro,otro
Activación de líneas teléfonos celulares,124,tecnologia,comercio general
"Venta al por menor de aparatos fotográficos, artículos de fotografía",124,fotografia,comercio general
"Venta al por menor de lanas, hilos y artículos afines",123,otro,otro
INSTALACIÓN DE EQUIPOS DE GNC,122,estacion_servicio,automotor
VENTA AL POR MENOR DE TEXTOS NUEVOS,121,otro,otro
Agencias de turismo y servicios conexos propios,119,turismo,servicios profesionales
SERVICIOS INMOBILIARIOS REALIZADOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA N.C.P.,118,inmobiliaria,servicios profesionales
Combustibles derivados del petróleo y Gas Natural Comprimido,117,otro,otro
Venta al por menor de artículos de revestimiento y decoración,116,articulos_hogar,hogar y construccion
VENTA AL POR MENOR DE ARTÍCULOS DE ILUMINACIÓN,115,otro,otro
"VENTA POR MENOR DE MEDICAMENTOS, MASCOTAS Y PRODUCTOS (INCLUYE ALIMENTO PARA ANIMALES)",113,forrajeria,alimentos
VENTA AL POR MENOR DE CONFECCIONES PARA EL HOGAR,113,otro,otro
"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE EDIFICIOS RESIDENCIALES",112,otro,otro
SERVICIOS PERSONALES N.C.P.,112,otro,otro
"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE EDIFICIOS NO RESIDENCIALES",111,otro,otro
ESTABLECIMIENTOS QUE PRESTAN EL SERVICIO DE CONTROL DE PLAGAS URBANAS,110,otro,otro
"Provisión de comidas preparadas, racionamiento de alimentos en cocido (incluye el servicio de catering, el suministro de confituras y comidas para banquetes, bodas, fiestas y otras celebraciones, )",109,alimentos_otros,alimentos
Venta al por menor de aparatos y artefactos eléctricos para la iluminación,109,otro,otro
"Transporte automotores de carga y encomienda a corta, media y larga distancia",108,transporte,servicios profesionales
Fabricación de productos metálicos n.c.p.,107,fabricacion,industria y deposito
"Venta al por menor de aberturas (puertas, ventanas, armazones)",106,otro,otro
"Residenciales, hospedajes y otros lugares de alojamiento sin discriminar rubros, no clasificados en otra parte. Con un mínimo por habitación de $ 14,50.-",105,turismo,servicios profesionales
"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS, USADOS",105,usados,comercio general
Lubricentros,105,otro,otro
"Venta al por menor de máquinas n.c.p. y motores, incluidos sus repuestos",103,repuestos,automotor
Lavadero de autos,103,estacion_servicio,automotor
ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,103,fabricacion,industria y deposito
VENTA AL POR MENOR DE PRENDAS DE CUERO,102,otro,otro
VENTA POR MENOR DE MASCOTAS Y ACCESORIOS PARA ANIMALES,102,forrajeria,alimentos
Venta al por mayor de bebidas alcohólicas y energizantes,102,mayorista,industria y deposito
"VENTA AL POR MAYOR DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES ",102,mayorista,industria y deposito
Instituto de enseñanza,100,educacion,educacion
Pedicura,100,otro,otro
Impresión y encuadernación (excepto diarios y revistas),99,otro,otro
Venta al por mayor de prendas de vestir (excepto de cuero y calzado),99,mayorista,industria y deposito
Venta al por menor de tarjetas magnéticas de transporte de pasajeros y de telefonía,98,transporte,servicios profesionales
Fabricación de masas y demás productos de pastelería (confiterías),98,fabricacion,industria y deposito
Venta al por mayor de artículos de limpieza y saneamiento,98,mayorista,industria y deposito
"Venta al por menor de legumbres, frutas, cereales secos y en conservas",97,otro,otro
VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y  HERBORISTERÍA,97,dietetica,alimentos
SERVICIOS DE ENSEÑANZA N.C.P.,96,educacion,educacion
VENTA AL POR MENOR DE ARTÍCULOS TEXTILES N.C.P. EXCEPTO PRENDAS DE VESTIR,96,merceria,indumentaria
Venta al por menor de cámaras y cubiertas.,95,repuestos,automotor
"VENTA AL POR MENOR DE FLORES, PLANTAS, SEMILLAS, ABONOS, FERTILIZANTES Y OTROS PRODUCTOS DE VIVERO 	",95,vivero,hogar y construccion
VENTA AL POR MENOR DE PESCADOS Y  PRODUCTOS DE LA PESCA,95,pescaderia,alimentos
VENTA AL POR MENOR DE LIBROS,95,libreria,comercio general
Venta al por menor de artículos de santería,94,otro,otro
Venta al por menor de artículos regionales,93,otro,otro
SERVICIOS DE ASOCIACIONES N.C.P.,93,otro,otro
Elaboración de pastas frescas,92,fabricacion,industria y deposito
Fabricación de productos metálicos de Tornería y Matricería,91,fabricacion,industria y deposito
"Venta al por mayor de artículos de tocador, jabones, perfumes, cosméticos",90,mayorista,industria y deposito
Fábrica de milanesas y hamburguesas,90,otro,otro
"SERVICIO MÉDICO INTEGRADO DE CONSULTA, DIAGNÓSTICO Y TRATAMIENTO",89,otro,otro
VENTA AL POR MENOR NO REALIZADA EN ESTABLECIMIENTOS,89,otro,otro
"Elaboración de productos alimenticios n.c.p. (Incluye la elaboración de polvos para preparar postres y gelatinas, levadura, productos para copetín, sal de mesa, mayonesa, mostaza)",89,fabricacion,industria y deposito
Servicios prestados al público por profesionales organizados como empresa en ejercicio de su profesión liberal,89,oficina,servicios profesionales
"Reparaciones eléctricas de automotores (incluyendo tableros, instrumental y reparación o recarga de baterías)",89,otro,otro
Venta al por mayor en ferreterías,86,mayorista,industria y deposito
Agencia de publicidad,85,otro,otro
Fabricación de productos de carpintería metálica,85,fabricacion,industria y deposito
VENTA AL POR MENOR DE CÁMARAS Y CUBIERTAS,85,repuestos,automotor
"Servicios de diagnósticos. (Incluye las actividades de laboratorios de análisis clínicos y patológicos, centros de diagnóstico por imágenes, centros de endoscopía, de electrodiagnóstico, consultorios de hemodinamia)",85,consultorio,salud
"VENTA DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS",85,repuestos,automotor
"VENTA AL POR MENOR DE FUEL OIL, GAS EN GARRAFAS, CARBÓN Y LEÑA",85,otro,otro
SERVICIOS RELACIONADOS CON LA SALUD HUMANA N.C.P. ,85,consultorio,salud
Venta  por menor de motocicletas nuevas y usadas,84,venta_vehiculos,automotor
SERVICIOS ODONTOLÓGICOS,84,consultorio,salud
Venta al por menor de telas. Tiendas,83,merceria,indumentaria
ENSEÑANZA ARTÍSTICA,81,educacion,educacion
SERVICIOS DE FAST FOOD Y LOCALES DE VENTA DE COMIDAS Y BEBIDAS AL PASO,81,bebidas,alimentos
VENTA AL POR MAYOR DE PRODUCTOS ALIMENTICIOS N.C.P.,81,mayorista,industria y deposito
SERVICIOS DE REHABILITACIÓN FÍSICA,80,otro,otro
"Venta al por menor de aparatos para videojuegos; cassettes, DVD; reproductores; videograbadoras y similares",80,otro,otro
Prode,80,otro,otro
"Venta al por mayor de bebidas no alcohólicas, aguas, gaseosas",79,mayorista,industria y deposito
Taller de chapa y pintura de automotores,79,taller_mecanico,automotor
REPARACIÓN DE ARTÍCULOS ELÉCTRICOS Y ELECTRÓNICOS DE USO DOMÉSTICO,79,otro,otro
Venta al por mayor de combustibles y lubricantes para automotores,79,mayorista,industria y deposito
Venta  por menor de vehículos automotores usados,79,usados,comercio general
Operaciones o préstamos no involucrados en los apartados anteriores,79,cobranzas,servicios profesionales
"REFORMA Y REPARACIÓN DE CERRADURAS, DUPLICACIÓN DE LLAVES. CERRAJERÍAS",78,reparaciones,servicios personales
Venta de automotores usados por comisiones o consignaciones. Incluye planes de ahorro,77,venta_vehiculos,automotor
"VENTA AL POR MENOR DE FLORES, PLANTAS, SEMILLAS, ABONOS, FERTILIZANTES Y OTROS PRODUCTOS DE VIVERO",77,vivero,hogar y construccion
"Venta al por mayor de máquinas, equipos y aparatos de uso doméstico (incluidos los eléctricos)",76,mayorista,industria y deposito
VENTA AL POR MENOR EN SUPERMERCADOS,76,almacen,alimentos
VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS,76,mayorista,industria y deposito
Venta de GNC,76,estacion_servicio,automotor
SERVICIOS DE CONSULTA MÉDICA,76,otro,otro
Venta por menor de automotores  nuevos y  usadas en consignación,75,otro,otro
"Seguros (Cooperativa , Mutual y compañía privada) . Reaseguros Con un mínimo por persona que desarrolle actividad inherente al giro del establecimiento de $203",75,seguros,servicios profesionales
Ejecución de trabajos de artículos publicitarios (diseño gráfico),74,otro,otro
Servicios de acceso a navegación y otros canales de uso de internet. Entretenimientos; juegos en red y en consolas (cyber y similares) con un mínimo por puesto conectado a un sistema de red con o sin acceso a internet de $15.-,74,otro,otro
Venta por mayor de productos farmacéuticos y veterinarios (medicamentos),74,mayorista,industria y deposito
SERVICIOS DE LA BANCA MINORISTA,73,otro,otro
Enseñanza privada (otras),72,educacion,educacion
VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y DE HERBORISTERÍA,72,dietetica,alimentos
Supermercado con una superficie total de 301 m2 hasta 600 m2,72,almacen,alimentos
Servicio de limpieza,71,otro,otro
"ELABORACIÓN INDUSTRIAL DE PRODUCTOS DE PANADERÍA, EXCEPTO GALLETITAS Y BIZCOCHOS",71,panaderia,gastronomia
"Servicios de elaboración propia o por terceros y venta para llevar y entrega a domicilio de alimentos perecederos calientes, fríos o congelados, sin sucursales, con superficie habilitada de más de 50 m2. Ubicados dentro del perímetro comprendido por las c",70,comida_para_llevar,gastronomia
ELABORACIÓN DE PASTAS ALIMENTARIAS FRESCAS,69,fabricacion,industria y deposito
VENTA AL POR MENOR DE UNIFORMES ESCOLARES Y GUARDAPOLVOS,69,otro,otro
SERVICIOS DE SEGURIDAD E INVESTIGACIÓN N.C.P.,69,otro,otro
"Venta al por menor de motores, maquinarias, equipos y aparatos industriales (incluidos los eléctricos)",69,otro,otro
ELABORACIÓN DE COMIDAS PREPARADAS PARA REVENTA,68,fabricacion,industria y deposito
SERVICIOS RELACIONADOS CON JUEGOS DE AZAR Y APUESTAS N.C.P.,68,juegos_azar,esparcimiento
Fabricación de productos plásticos n.c.p.,68,fabricacion,industria y deposito
SERVICIOS DE FINANCIACIÓN Y ACTIVIDADES FINANCIERAS N.C.P.,68,otro,otro
Venta al por mayor en comisión o consignación de mercaderías n.c.p.,68,mayorista,industria y deposito
Taller de gomería. Incluye las que poseen anexos de recapados,68,taller_mecanico,automotor
Venta al por menor de sanitarios,67,construccion,hogar y construccion
"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS, USADOS  ",67,usados,comercio general
Venta al por mayor de artículos de bazar y menaje,66,mayorista,industria y deposito
Fabricación y reparación de maquinaria y equipos para la industria en general n.c.p.,65,fabricacion,industria y deposito
"Venta al por mayor de frutas, hortalizas y verduras en el Mercado de Abasto",64,mayorista,industria y deposito
"Confección de prendas de vestir (excepto las de piel, de cuero y sucedáneos, pilotos e impermeables). Incluye ropa interior, prendas de dormir y playa, indumentaria de trabajo, uniformes, guardapolvos, ropa de bebé y niño.",64,lenceria,indumentaria
Supermercado con una superficie total hasta 300 m2,64,almacen,alimentos
"Combustibles derivados del petróleo y Gas Natural Comprimido, en estaciones de servicio y otras actividades reguladas por la Ordenanza Nº 9748/97 y sus modificatorias como localizadas en zonas determinadas por el artículo 10° de dicha ordenanza",64,comercio_otros,comercio general
SERVICIOS DE ENVIO Y RECEPCIÓN DE FONDOS DESDE Y HACIA EL EXTERIOR,64,otro,otro
SERVICIOS DE DESINFECCIÓN Y EXTERMINIO DE PLAGAS EN EL ÁMBITO URBANO,63,otro,otro
Servicio de seguridad,63,otro,otro
VENTA DE VEHÍCULOS AUTOMOTORES USADOS N.C.P.,63,usados,comercio general
VENTA AL POR MAYOR DE ARTÍCULOS DE FERRETERÍA Y MATERIALES ELÉCTRICOS,62,mayorista,industria y deposito
SERVICIOS PRESTADOS POR INMOBILIARIAS,62,inmobiliaria,servicios profesionales
"Venta al por menor y colocación de equipos de audio; de radiollamado, alarmas; cierre centralizado; levanta cristales para automotores",62,otro,otro
Fabricación de galletitas y bizcochos y otros productos secos de panaderías,62,fabricacion,industria y deposito
VENTA AL POR MENOR DE ABERTURAS,62,otro,otro
Reparación de relojes y joyas,61,bijouterie,indumentaria
VENTA AL POR MENOR DE ARTÍCULOS DE ORTOPEDIA,61,ortopedia,salud
"Fábrica de chacinados. Elaboración de fiambres, embutidos y preparados a base de carne",60,fabricacion,industria y deposito
"Venta al por mayor de descartables de uso médico, paramédico, odontológico y ortopédico",60,mayorista,industria y deposito
"ENSEÑANZA DE GIMNASIA, DEPORTES Y ACTIVIDADES FÍSICAS",59,educacion,educacion
FÁBRICA PRODUCTOS DERIVADOS DE LA HARINA-PANIFICACIÓN,59,otro,otro
Servicios de gestión y logística para el transporte de mercaderías,59,transporte,servicios profesionales
Venta al por menor de alarmas y otros artículos de seguridad,59,otro,otro
"SERVICIOS BRINDADOS PARA TERCEROS POR CALL CENTER, CONTACT CENTER, Y ATENCIÓN AL CLIENTE. SERVICIOS BRINDADOS MEDIANTE TECNOLOGÍA PERTENECIENTE AL ÁREA DE COMUNICACIONES. SE INCLUYEN TODOS LOS SERVICIOS RELACIONADOS CON EL ASESORAMIENTO Y AUXILIO TÉCNICO",59,otro,otro
VENTA AL POR MAYOR DE MERCANCÍAS N.C.P.,59,mayorista,industria y deposito
